AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8,AS9,AS10,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,AD1,AD2,AD3,AD4,AD5,AD6,AD7,AD8,AD9,AD10,DO1,DO2,DO3,DO4,DO5,DO6,DO7,DO8,DO9,DO10,age,gender,AS,SC,AD,DO,final
2,4,4,4,4,4,2,2,1,1,3,2,2,3,3,2,2,4,4,1,3,4,5,5,4,2,1,3,2,2,5,5,4,3,4,4,3,3,3,3,23,1,28,26,31,37,DO
2,4,4,4,4,4,1,1,1,1,1,3,3,2,4,3,1,5,3,4,4,5,5,5,1,1,1,1,1,1,5,5,5,2,5,4,4,4,2,1,20,1,26,29,25,37,DO
4,3,3,4,3,3,3,3,2,1,4,3,4,4,4,3,2,2,3,2,5,4,5,5,2,2,2,2,2,2,3,3,2,2,2,2,4,4,2,2,60,1,29,31,31,26,SC
2,3,3,4,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,27,0,0,0,AS
5,4,2,5,2,4,4,4,1,2,4,4,1,5,4,2,2,2,2,2,4,5,5,4,2,2,2,2,2,1,4,2,2,4,4,4,4,4,4,1,24,1,33,28,29,33,AS
5,5,5,3,5,5,1,1,1,1,2,1,2,5,3,5,1,4,5,1,4,3,5,5,1,1,1,1,1,1,5,5,5,5,5,5,5,5,4,4,39,2,32,29,23,48,DO
2,4,3,5,2,3,4,2,1,2,3,4,2,2,2,2,1,4,2,1,2,4,3,5,3,2,1,4,2,4,4,3,4,4,5,3,2,4,3,4,32,1,28,23,30,36,DO
4,3,5,3,2,4,3,3,2,2,4,4,4,4,3,1,1,1,1,1,3,5,5,4,3,1,1,1,1,3,3,1,4,4,3,3,2,2,2,1,50,2,31,24,27,25,AS
4,4,3,2,2,4,4,1,2,1,3,4,5,4,2,2,4,5,4,2,4,4,3,4,2,2,2,4,1,2,4,4,4,4,4,5,4,5,2,3,23,1,27,35,28,39,DO
4,4,2,3,4,4,3,3,1,1,5,5,5,4,4,1,1,1,1,1,5,4,5,4,2,2,2,3,3,2,3,4,3,3,3,4,2,3,2,1,17,1,29,28,32,28,AD
2,2,2,4,2,3,4,4,4,2,2,2,2,2,2,4,2,4,2,4,4,5,4,5,2,2,3,2,2,2,4,4,3,2,2,2,2,2,2,2,29,2,29,26,31,25,AD
5,4,4,5,3,4,2,2,4,2,4,4,4,5,5,1,1,2,2,1,4,4,4,4,1,1,1,1,1,1,4,4,4,3,3,3,4,4,2,3,54,2,35,29,22,34,AS
3,4,4,3,4,5,3,4,1,1,4,3,3,3,4,3,2,1,3,1,2,5,5,5,3,1,5,4,4,2,3,3,3,2,3,3,5,4,4,4,29,2,32,27,36,34,AD
4,4,5,3,4,4,2,2,1,4,2,0,2,3,3,4,2,2,4,3,2,4,3,3,4,3,3,5,3,4,3,2,3,2,3,2,3,3,2,1,26,2,33,25,34,24,AD
2,3,3,3,1,2,4,2,3,2,2,2,1,2,3,4,3,4,4,1,2,3,5,3,4,4,4,3,1,1,3,2,4,3,2,5,3,2,3,3,27,1,25,26,30,30,AD
4,4,4,4,3,4,3,2,2,2,4,4,4,3,3,3,3,2,4,2,3,4,4,4,3,3,2,3,2,2,4,4,2,2,4,4,3,4,3,2,27,1,32,32,30,32,AS
3,3,2,4,3,3,4,3,1,2,3,2,1,3,3,4,2,3,4,2,3,4,4,4,4,3,2,3,2,2,3,3,3,2,2,2,4,3,2,2,36,1,28,27,31,26,AD
2,5,2,3,2,3,3,4,1,2,5,5,4,2,4,1,2,2,2,3,4,5,5,4,2,1,1,4,1,2,5,4,4,3,4,2,2,2,1,2,35,1,27,30,29,29,SC
2,2,2,3,3,4,4,4,1,2,4,2,1,2,2,3,2,2,4,1,4,4,5,4,4,4,2,4,2,2,4,4,2,2,4,4,2,2,1,2,33,2,27,23,35,27,AD
5,5,4,4,5,5,2,2,1,1,4,4,5,5,4,2,2,3,3,1,2,5,5,4,4,1,1,4,2,4,5,4,3,2,3,2,5,5,1,3,21,1,34,33,32,33,AS
4,3,3,4,4,2,4,4,1,2,5,5,4,4,4,1,1,1,2,2,3,4,4,4,4,2,2,4,4,4,4,4,2,2,2,4,2,2,1,1,38,1,31,29,35,24,AD
4,4,4,3,4,4,1,2,1,2,4,4,4,4,3,2,2,2,2,1,4,5,4,4,4,2,2,3,1,2,3,3,4,4,4,3,4,4,4,4,28,2,29,28,31,37,DO
3,4,3,4,3,3,2,2,2,2,3,2,4,3,4,2,2,3,3,2,3,4,5,5,3,2,2,4,2,2,4,3,2,2,3,2,3,4,3,2,22,1,28,28,32,28,AD
4,3,5,4,4,3,2,1,1,1,5,5,3,4,5,1,1,1,3,1,5,5,5,5,3,1,1,3,1,1,5,5,5,1,4,1,5,5,4,1,39,1,28,29,30,36,DO
2,4,4,4,4,4,2,2,2,1,3,4,4,2,3,3,3,3,2,3,4,3,4,4,3,1,1,1,1,1,3,3,3,3,3,3,4,4,3,3,29,1,29,30,23,32,DO
4,4,4,5,3,4,2,3,4,1,3,5,5,4,4,1,2,3,2,2,5,5,4,4,3,3,3,2,1,2,5,5,3,1,2,4,2,3,2,1,37,1,34,31,32,28,AS
4,4,4,4,2,3,3,3,1,1,2,1,2,4,4,5,2,4,5,1,5,3,4,5,2,3,3,2,4,2,4,4,2,2,2,2,2,2,2,3,48,1,29,30,33,25,AD
3,3,4,5,4,3,2,3,2,2,5,4,3,3,5,2,1,2,2,2,4,4,5,5,2,1,1,2,1,2,3,3,2,2,2,3,2,4,2,2,24,1,31,29,27,25,AS
5,4,4,4,4,3,2,5,3,4,3,4,3,5,3,4,2,3,4,2,4,5,5,5,4,2,1,3,1,4,2,3,3,2,3,2,4,3,1,3,51,2,38,33,34,26,AS
4,4,4,4,2,4,2,1,2,1,4,5,5,4,4,2,1,2,2,2,4,5,5,2,1,2,1,2,2,2,4,4,4,2,4,4,4,5,2,4,43,1,28,31,26,37,DO
4,3,3,3,5,4,3,4,4,1,5,5,2,4,2,2,3,2,2,1,4,5,5,5,2,1,1,4,1,1,4,5,4,2,2,1,2,4,5,3,27,2,34,28,29,32,AS
4,4,4,4,3,4,2,2,1,1,4,4,4,4,4,2,1,2,2,1,4,5,5,5,4,3,3,4,3,5,5,5,5,5,3,4,4,5,4,4,46,1,29,28,41,44,DO
3,4,3,4,4,4,3,2,2,1,3,4,4,3,4,3,2,3,4,4,3,5,5,4,3,3,2,3,2,4,4,4,4,4,4,3,3,4,4,3,42,2,30,34,34,37,DO
4,4,4,4,4,3,3,4,3,2,4,3,2,4,3,3,3,4,4,2,5,5,5,5,3,2,2,2,2,2,3,3,3,2,4,3,4,3,3,4,34,2,35,32,33,32,AS
4,4,2,5,4,3,4,4,4,2,3,2,3,5,4,4,2,4,4,3,5,5,5,5,3,2,2,3,1,2,4,3,4,4,4,1,4,4,1,2,23,2,36,34,33,31,AS
5,0,3,5,3,4,1,3,2,1,4,5,5,5,5,2,1,1,2,1,5,5,5,5,2,1,1,3,1,1,3,3,3,3,2,3,4,5,2,2,41,1,27,31,29,30,SC
5,4,4,4,4,3,3,3,2,1,5,4,5,5,4,2,2,1,2,1,5,5,5,5,2,2,1,2,1,3,2,2,4,3,3,4,5,4,3,3,48,1,33,31,31,33,AS
4,2,4,2,2,4,4,2,1,2,5,2,2,4,2,4,4,2,4,1,5,5,5,5,2,1,1,4,4,2,4,4,4,4,5,2,2,4,2,2,26,2,27,30,34,33,AD
4,1,3,3,3,4,4,3,2,1,3,2,3,4,3,4,3,3,4,4,2,4,5,4,3,5,3,4,2,1,1,4,3,2,5,4,3,5,3,2,30,1,28,33,33,32,SC
4,2,2,4,2,3,3,3,2,2,4,2,1,4,2,4,3,2,4,2,4,4,4,4,3,2,2,3,1,2,2,2,4,3,4,3,3,3,2,2,44,2,27,28,29,28,AD
5,2,2,4,2,2,3,2,3,3,4,4,1,5,4,2,0,2,2,1,4,5,5,5,1,1,1,1,1,1,3,2,4,2,3,3,2,5,2,3,29,2,28,25,25,29,DO
5,4,3,3,4,0,2,4,4,2,5,4,4,4,4,1,1,2,2,2,4,5,5,4,3,3,4,2,5,2,4,4,3,2,3,2,3,2,2,2,45,2,31,29,37,27,AD
3,4,2,2,5,4,4,4,1,2,5,2,1,3,4,2,2,2,3,2,4,3,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,4,4,4,30,2,31,26,36,39,DO
5,5,5,5,5,5,1,2,1,1,5,4,5,4,3,1,3,3,1,1,5,4,4,3,2,2,1,1,1,1,5,5,4,1,5,5,5,5,3,2,49,1,35,30,24,40,DO
5,4,3,3,2,2,2,2,1,1,5,5,5,5,3,1,3,2,2,1,4,4,5,3,4,3,1,2,1,2,3,3,4,3,5,3,5,5,2,2,26,1,25,32,29,35,DO
2,3,2,2,4,3,3,4,4,4,5,2,2,4,3,4,2,3,4,4,2,4,4,4,4,2,2,2,2,1,4,3,2,2,4,3,2,2,3,2,40,1,31,33,27,27,SC
5,4,3,3,3,4,3,4,4,1,4,5,5,5,5,1,2,2,1,2,3,3,5,5,3,2,1,1,1,1,1,1,1,1,5,3,4,4,2,2,32,2,34,32,25,24,AS
4,3,4,2,2,4,4,4,1,1,3,4,2,4,2,2,2,4,3,4,2,3,4,5,5,3,4,4,2,5,5,4,5,4,5,2,5,4,5,4,20,1,29,30,37,43,DO
5,4,5,4,5,4,1,2,1,1,5,5,5,5,4,1,2,1,1,1,5,5,5,5,4,3,3,3,1,1,5,5,3,3,5,2,5,5,1,3,23,1,32,30,35,37,DO
4,2,2,3,3,3,4,4,3,3,4,4,3,4,3,3,2,2,4,4,4,4,4,4,4,3,3,2,2,4,2,2,3,3,2,2,4,4,3,3,56,1,31,33,34,28,AD
4,3,3,4,3,2,3,2,3,2,5,5,4,4,4,1,3,2,2,1,4,3,4,4,3,3,3,4,1,3,4,4,4,4,4,3,4,3,2,3,42,1,29,31,32,35,DO
4,4,4,4,4,4,2,2,1,1,4,4,4,4,4,2,2,2,4,2,4,5,4,4,3,2,2,4,1,2,3,3,4,4,4,3,4,4,3,4,28,1,30,32,31,36,DO
4,2,3,4,2,3,4,2,4,2,4,4,4,4,4,2,2,2,2,2,2,2,4,3,4,3,2,4,2,2,1,1,2,2,4,2,4,4,2,3,40,2,30,30,28,25,AS
2,2,2,4,3,3,3,4,1,2,4,2,3,4,2,4,2,2,4,2,4,4,4,3,3,2,2,4,2,2,3,2,2,2,2,2,2,4,1,1,28,2,26,29,30,21,AD
4,3,2,3,4,4,3,2,1,1,3,2,2,4,3,3,3,2,4,2,3,4,5,5,3,3,5,4,1,1,4,2,3,4,4,2,4,5,3,3,20,2,27,28,34,34,AD
4,3,4,5,4,5,3,4,2,1,4,4,5,4,4,2,1,3,4,2,5,5,5,5,4,2,2,2,1,1,3,3,4,3,3,3,4,5,2,2,43,1,35,33,32,32,AS
4,5,4,3,4,4,2,2,1,4,5,5,3,5,4,1,3,2,1,2,5,4,4,5,2,1,1,2,3,2,5,4,2,3,4,4,4,3,4,2,21,1,33,31,29,35,DO
4,5,3,4,2,4,3,3,1,1,4,4,3,4,4,2,2,2,3,2,3,5,5,5,3,4,3,3,3,2,4,4,3,2,3,3,4,3,2,2,37,1,30,30,36,30,AD
4,3,5,4,4,4,3,2,3,1,5,4,5,4,4,3,2,2,2,1,4,5,5,5,3,3,2,3,1,3,4,5,5,4,5,4,5,5,4,4,26,2,33,32,34,45,DO
3,2,2,3,2,4,4,3,2,5,4,2,1,3,3,3,2,2,4,4,3,4,5,3,3,2,2,2,2,2,3,2,2,1,2,2,3,3,2,1,30,2,30,28,28,21,AS
4,4,3,4,4,4,1,1,1,1,4,2,4,4,3,4,2,1,2,2,5,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,2,22,1,27,28,29,25,AD
4,4,3,3,4,4,2,4,2,5,4,4,1,4,2,3,2,2,4,4,3,5,5,5,2,2,2,3,2,1,4,2,2,1,2,1,4,3,1,1,30,2,35,30,30,21,AS
4,5,4,5,4,4,2,3,1,1,4,2,2,4,4,5,1,1,4,2,2,4,2,4,1,1,1,2,5,1,5,5,4,3,4,2,4,4,4,4,23,1,33,29,23,39,DO
4,5,4,3,4,4,1,4,1,1,2,2,2,3,3,3,3,2,3,1,5,5,5,5,1,1,1,1,1,1,5,5,4,5,5,1,5,5,3,5,32,1,31,24,26,43,DO
4,4,4,3,3,3,0,2,2,2,5,2,4,4,4,4,2,1,4,2,4,4,4,3,2,2,2,2,2,1,3,2,3,1,3,2,2,2,1,1,52,2,27,32,26,20,SC
5,4,4,4,4,4,2,2,2,1,4,4,2,5,2,2,2,2,4,2,4,4,4,4,2,2,2,4,4,2,3,2,2,2,4,2,2,2,2,2,51,2,32,29,32,23,AS
4,4,4,4,4,3,3,3,2,1,5,5,3,4,3,1,1,1,1,1,4,5,5,5,3,3,4,4,1,4,4,4,3,3,4,4,4,4,2,3,35,2,32,25,38,35,AD
5,5,5,5,5,5,2,3,1,2,5,5,5,5,5,3,1,1,3,2,4,4,5,5,3,3,3,3,3,1,5,5,4,2,3,3,5,5,3,3,19,1,38,35,34,38,AS
5,3,3,4,3,3,3,3,2,1,4,4,3,5,3,2,1,2,3,1,3,5,5,4,2,4,4,4,2,1,1,3,3,2,4,2,4,5,2,2,43,1,30,28,34,28,AD
3,3,2,4,3,4,3,3,1,1,4,4,3,3,4,2,2,2,3,3,5,5,5,5,3,2,1,3,1,1,4,4,4,2,4,3,4,4,3,2,24,1,27,30,31,34,DO
4,3,4,3,2,2,3,2,2,1,2,3,4,4,3,4,2,4,3,2,5,5,5,5,2,2,2,1,2,2,4,4,3,2,3,3,3,4,2,2,25,2,26,31,31,30,SC
4,4,3,4,3,4,2,2,3,2,4,2,1,4,4,4,2,2,4,3,4,5,5,4,2,2,2,3,1,3,3,2,4,3,3,2,2,3,2,1,36,2,31,30,31,25,AS
4,3,4,4,4,0,3,2,1,2,4,0,2,4,5,3,2,3,2,2,5,5,5,5,3,2,1,3,1,1,3,4,4,3,4,3,2,2,2,2,40,2,27,27,31,29,AD
4,2,3,3,4,3,3,4,1,1,4,3,4,4,4,3,2,2,4,2,4,4,4,4,2,2,2,2,1,2,3,3,3,1,4,2,4,5,3,2,48,2,28,32,27,30,SC
5,4,5,4,4,5,1,2,2,5,3,3,4,5,4,3,2,4,2,2,4,5,5,4,2,4,5,2,2,2,4,3,4,3,5,3,4,4,3,3,63,1,37,32,35,36,AS
3,4,4,3,4,3,3,4,2,1,3,3,2,3,2,3,3,3,3,3,5,4,5,5,3,2,1,4,2,3,5,5,5,5,4,3,3,3,3,4,31,1,31,28,34,40,DO
4,5,4,3,2,4,4,4,1,2,5,2,4,2,3,3,2,2,4,1,2,4,5,4,2,2,1,4,1,2,5,5,5,4,4,4,4,4,1,1,25,1,33,28,27,37,DO
3,4,4,4,3,3,4,4,1,2,4,2,5,5,5,3,4,2,2,2,3,2,4,4,3,3,3,4,2,5,4,4,3,4,4,4,5,5,4,4,24,1,32,34,33,41,DO
4,4,4,4,4,4,3,4,2,1,4,3,2,4,4,2,2,2,2,2,3,3,4,4,3,3,3,4,3,3,4,4,3,3,4,2,4,4,3,2,46,2,34,27,33,33,AS
5,5,5,4,4,5,1,2,2,1,4,5,4,5,4,1,3,3,1,1,4,2,4,5,4,2,2,3,2,1,3,2,5,4,5,4,4,5,4,5,28,1,34,31,29,41,DO
3,4,4,3,4,4,3,3,2,2,3,2,2,2,2,4,4,4,4,3,4,4,4,4,2,2,2,3,2,2,4,4,4,3,4,3,4,4,2,2,28,2,32,30,29,34,DO
5,4,5,5,5,5,2,2,1,1,5,4,3,4,4,2,1,1,3,2,4,5,5,2,2,2,2,4,2,4,3,3,4,5,4,4,4,4,3,4,30,1,35,29,32,38,DO
5,3,3,5,4,3,3,2,2,1,5,4,4,4,4,2,2,1,2,2,4,5,5,4,3,2,2,3,1,2,3,3,3,3,3,4,4,4,3,3,45,1,31,30,31,33,DO
5,5,5,5,5,4,3,2,1,1,5,5,5,5,5,1,1,2,3,1,3,4,4,4,2,1,1,3,1,3,3,2,4,2,2,2,4,4,1,1,64,1,36,33,26,25,AS
2,2,1,4,2,2,4,4,4,2,1,2,2,3,4,3,2,4,3,2,3,2,5,2,2,3,2,3,4,2,4,4,4,2,3,4,2,4,2,2,19,2,27,26,28,31,DO
3,4,5,3,4,5,1,2,1,1,3,3,3,3,3,4,3,2,3,1,5,4,4,4,1,1,1,1,2,1,5,5,4,3,3,3,4,4,3,2,24,2,29,28,24,36,DO
4,4,4,4,2,4,3,3,5,3,5,5,4,4,4,2,2,2,2,3,4,4,4,4,4,3,3,2,3,3,5,4,2,2,2,3,4,3,3,2,27,1,36,33,34,30,AS
4,4,4,4,4,4,2,2,2,2,4,4,3,4,4,3,4,2,3,2,4,4,4,4,3,2,2,2,2,2,3,3,4,3,3,3,4,4,3,2,29,1,32,33,29,32,SC
5,4,5,4,5,5,1,2,1,1,5,4,4,5,3,1,2,1,1,1,3,5,5,5,1,1,1,4,1,3,4,4,4,4,5,4,4,3,5,4,35,1,33,27,29,41,DO
4,3,3,5,3,2,3,4,2,1,2,3,4,4,5,3,2,4,3,3,4,4,2,4,3,2,1,3,4,2,2,1,2,1,1,3,1,4,1,1,36,2,30,33,29,17,SC
3,2,2,3,2,2,3,2,2,2,4,3,2,3,3,2,3,2,3,2,4,4,4,4,3,3,2,3,2,3,3,3,2,2,4,2,4,4,2,2,26,2,23,27,32,28,AD
5,4,2,4,3,3,3,2,3,1,5,5,4,5,4,2,2,2,2,3,5,5,5,5,2,2,2,2,3,1,4,4,3,2,1,2,2,2,2,2,40,2,30,34,32,24,SC
4,4,3,4,3,4,2,2,1,2,4,3,1,4,4,3,2,2,3,1,5,4,5,4,2,2,2,3,1,2,4,3,3,2,4,2,4,5,2,2,40,2,29,27,30,31,DO
3,3,3,4,3,3,3,2,1,2,2,2,1,3,4,3,1,4,5,3,3,5,5,5,4,3,2,3,1,3,4,4,3,1,2,1,1,2,1,1,25,2,27,28,34,20,AD
4,3,3,4,3,3,3,3,1,1,3,3,1,4,3,3,2,3,4,3,4,5,3,3,3,3,3,3,1,3,1,1,3,3,3,2,4,3,3,2,46,2,28,29,31,25,AD
3,3,4,4,3,4,2,3,1,1,3,2,1,3,3,5,2,2,4,3,5,5,5,5,3,2,2,1,1,2,4,4,4,4,4,3,3,4,2,2,28,2,28,28,31,34,DO
4,4,3,4,4,4,2,1,1,0,4,2,4,5,4,2,0,2,4,1,1,1,1,1,4,2,2,2,4,2,3,3,3,3,4,4,4,4,3,3,44,1,27,28,20,34,DO
4,1,1,4,3,2,4,3,5,1,2,2,4,4,4,4,2,4,4,4,3,5,5,4,4,3,3,4,2,2,3,2,4,2,2,2,4,4,1,2,39,1,28,34,35,26,AD
3,4,3,4,3,3,4,3,2,5,4,4,3,3,4,2,2,2,3,2,5,4,4,4,3,3,2,3,2,1,3,2,4,3,4,3,4,4,3,2,37,1,34,29,31,32,AS
3,4,4,4,5,4,1,3,2,4,3,3,3,2,4,3,2,3,4,3,4,5,5,4,1,2,2,3,2,1,3,4,3,2,3,2,3,3,3,1,27,1,34,30,29,27,AS
5,4,4,3,4,4,2,2,3,2,5,5,4,5,4,2,2,2,3,1,4,4,5,3,3,3,2,2,2,1,3,3,3,3,4,4,3,4,3,2,53,1,33,33,29,32,AS
3,3,5,4,3,3,3,3,1,1,4,4,4,4,3,3,2,3,2,3,4,4,4,4,2,2,2,4,2,2,4,3,2,1,1,1,1,1,1,1,45,1,29,32,30,16,SC
2,4,3,3,4,3,3,2,1,2,2,1,4,3,3,5,2,4,4,2,3,4,4,4,2,2,2,2,1,1,3,3,3,2,2,1,3,4,1,1,20,2,27,30,25,23,SC
5,3,2,4,4,5,4,2,3,2,4,5,4,4,5,3,2,2,2,2,4,5,2,5,4,3,4,4,2,4,2,2,2,2,2,4,2,2,2,2,38,2,34,33,37,22,AD
5,5,4,4,3,5,3,2,2,4,4,4,3,5,4,3,2,2,4,2,5,5,5,5,1,2,2,2,4,1,3,4,3,3,4,4,3,4,3,4,37,1,37,33,32,35,AS
4,4,3,5,4,4,2,2,1,2,4,4,5,4,4,2,2,2,3,2,4,5,4,4,2,2,2,2,1,2,4,4,4,4,4,4,4,4,2,2,35,1,31,32,28,36,DO
5,5,2,5,3,4,5,1,3,5,5,5,5,4,4,1,1,1,2,1,5,5,5,3,5,3,2,4,1,3,1,1,3,2,5,2,5,4,3,3,40,2,38,29,36,29,AS
3,3,2,3,3,3,3,4,5,3,4,2,2,3,2,4,3,2,4,3,4,5,4,3,3,2,2,2,2,2,4,3,3,2,3,2,3,4,3,2,41,1,32,29,29,29,AS
5,2,4,4,5,4,1,1,1,1,5,4,5,4,4,1,1,1,2,1,5,5,5,4,2,1,1,1,2,1,4,3,4,3,5,1,4,4,2,2,43,0,28,28,27,32,DO
3,2,2,3,2,3,3,4,2,2,4,2,2,2,2,4,4,2,4,4,5,5,5,3,3,1,1,1,1,2,4,4,3,2,2,3,3,3,2,2,41,1,26,30,27,28,SC
3,2,2,4,2,2,3,2,2,2,3,2,2,3,2,4,3,3,4,2,2,4,4,3,4,4,3,4,3,3,2,2,4,1,4,3,4,3,3,2,28,1,24,28,34,28,AD
4,4,3,4,4,3,1,2,2,2,4,4,4,4,4,2,2,2,2,2,4,5,4,4,3,1,2,3,1,2,4,4,4,4,4,4,4,4,2,3,28,2,29,30,29,37,DO
4,4,2,4,3,3,4,2,5,1,4,2,2,4,4,4,2,2,4,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,45,2,32,30,28,24,AS
